ID,Product_1,Product_2,Product_3,Product_4,Product_5,Product_6,Product_7,Product_8,Product_9,Product_10
1,Dried Fruit,Pot Scrubbers,Toothbrushes,Chocolate Candy,Cheese,Auto Magazines,,,,
2,Cooking Oil,Paper Dishes,Sugar,Fresh Fruit,Pot Scrubbers,Hamburger,Beer,Deli Salads,Shellfish,Personal Hygiene
3,Paper Dishes,Pancakes,Chips,Soup,Hot Dogs,Clams,Tofu,Cottage Cheese,Lightbulbs,
4,Milk,Acetominifen,Hamburger,Jelly,,,,,,
5,Sugar,Auto Magazines,Canned Fruit,Popsicles,Batteries,,,,,
6,Tools,Toilet Brushes,Canned Vegetables,,,,,,,
7,Non-Alcoholic Wine,Chips,Plastic Utensils,Sardines,,,,,,
8,Rice,Conditioner,Beer,Sliced Bread,Cleaners,Chocolate Candy,Eggs,Toothbrushes,Frozen Vegetables,
9,Hard Candy,Shampoo,Pot Cleaners,Cottage Cheese,Nasal Sprays,Maps,Beer,,,
10,Beer,Screwdrivers,Fresh Chicken,Jelly,,,,,,
11,Nuts,Cottage Cheese,Tools,Fresh Fish,,,,,,
12,Crackers,Cheese,Nasal Sprays,Clams,Sour Cream,,,,,
13,Chocolate,Sardines,Tuna,Pretzels,Canned Fruit,Tofu,French Fries,Screwdrivers,Home Magazines,
14,Cleaners,French Fries,Deodorizers,Cookies,Clams,Sauces,Maps,,,
15,Fresh Chicken,Dried Meat,Popsicles,Donuts,Cereal,Soda,,,,
16,Spices,Nasal Sprays,Fashion Magazines,Candles,Pot Cleaners,,,,,
17,Hot Dogs,Bagels,Deodorizers,Shampoo,,,,,,
18,Flavored Drinks,Candles,Cooking Oil,Eggs,Shellfish,,,,,
19,Popcorn,Toilet Brushes,Deli Meats,Chocolate Candy,Pot Scrubbers,Coffee,Cottage Cheese,Conditioner,Sardines,Shellfish
20,Canned Vegetables,Lightbulbs,Computer Magazines,Dish Soap,Batteries,Maps,Pasta,Tuna,Bologna,
21,Deli Salads,Computer Magazines,Dish Soap,Clams,Hard Candy,Pots and Pans,,,,
22,Nasal Sprays,Sponges,Pancakes,Shower Soap,Clams,,,,,
23,Nasal Sprays,Non-Alcoholic Wine,Muffins,Pizza,Tools,Bagels,Jam,,,
24,Cookies,Popcorn,Lightbulbs,Pot Scrubbers,Personal Hygiene,Paper Wipes,,,,
25,Deodorizers,Cereal,Soda,Preserves,,,,,,
26,Milk,Dips,Dried Meat,,,,,,,
27,Anchovies,Hard Candy,Popcorn,Yogurt,Soup,Paper Wipes,,,,
28,Fashion Magazines,Peanut Butter,,,,,,,,
29,Fresh Vegetables,Oysters,Cheese,Ice Cream,Pancakes,,,,,
30,Soda,Frozen Chicken,Tofu,Paper Wipes,Donuts,Candles,Muffins,Bologna,Crackers,
31,Milk,Non-Alcoholic Wine,Acetominifen,Spices,Gum,Clams,Cold Remedies,Fresh Fruit,,
32,Popcorn,Pot Cleaners,Rice,Cottage Cheese,Cooking Oil,,,,,
33,Chocolate,Chocolate Candy,,,,,,,,
34,Tofu,Shrimp,Pasta,Frozen Vegetables,Sour Cream,Paper Wipes,,,,
35,Hard Candy,Fresh Fruit,Shower Soap,Acetominifen,Dish Soap,Home Magazines,Pancake Mix,,,
36,Wine,Fashion Magazines,Lightbulbs,Frozen Chicken,Shrimp,,,,,
37,Toothbrushes,Pizza,,,,,,,,
38,Eggs,Toilet Brushes,Cereal,Cheese,Milk,,,,,
39,Soup,Sports Magazines,Pot Cleaners,Cereal,Fresh Chicken,,,,,
40,Frozen Vegetables,Paper Wipes,Chocolate Candy,Paper Dishes,Cottage Cheese,Milk,Sunglasses,Dried Meat,Sauces,
41,Sour Cream,Cottage Cheese,Hamburger,Conditioner,Batteries,Bologna,Canned Vegetables,,,
42,Flavored Drinks,Jam,French Fries,Muffins,Ibuprofen,Fresh Chicken,Aspirin,Toothbrushes,Pancakes,Coffee
43,Acetominifen,Maps,Canned Vegetables,Hamburger,Shrimp,,,,,
44,Dips,Tuna,Deodorizers,Shrimp,Canned Fruit,,,,,
45,Computer Magazines,Coffee,Clams,Jelly,,,,,,
46,Sliced Bread,,,,,,,,,
47,Tools,Sauces,,,,,,,,
